"Category","Annual Mean","5-yr smooth"
1901,26.63,26.11
1902,26.02,26.1
1903,25.52,26.08
1904,25.76,26.07
1905,25.91,26.05
1906,26.42,26.03
1907,25.92,26
1908,26.03,25.97
1909,26.68,25.95
1910,25.79,25.95
1911,25.89,25.96
1912,25.75,26.01
1913,25.5,26.08
1914,26.31,26.16
1915,26.84,26.23
1916,26.23,26.29
1917,26.06,26.3
1918,26.17,26.27
1919,26.8,26.21
1920,25.58,26.14
1921,26.04,26.09
1922,26.15,26.09
1923,26.17,26.14
1924,26.46,26.25
1925,26.34,26.38
1926,26.29,26.5
1927,26.71,26.6
1928,27.07,26.65
1929,26.26,26.64
1930,26.34,26.6
1931,26.71,26.55
1932,26.5,26.53
1933,26.8,26.56
1934,26.57,26.64
1935,26.68,26.76
1936,27.06,26.87
1937,26.83,26.94
1938,26.55,26.94
1939,27.06,26.84
1940,26.89,26.67
1941,26.49,26.44
1942,26.32,26.21
1943,25.55,25.99
1944,25.88,25.83
1945,25.57,25.74
1946,25.87,25.7
1947,26.26,25.69
1948,25.44,25.71
1949,25.37,25.74
1950,25.89,25.78
1951,25.77,25.81
1952,26.14,25.85
1953,25.66,25.88
1954,25.83,25.92
1955,26.21,25.95
1956,25.8,25.97
1957,25.94,25.99
1958,26.38,26
1959,25.46,26
1960,26.46,25.99
1961,25.33,25.97
1962,26.31,25.94
1963,26.48,25.92
1964,25.27,25.89
1965,25.76,25.87
1966,26.37,25.85
1967,25.26,25.85
1968,25.79,25.85
1969,26.6,25.87
1970,25.83,25.9
1971,25.63,25.95
1972,25.88,26.01
1973,26.27,26.07
1974,26.08,26.14
1975,26.08,26.21
1976,26.5,26.27
1977,25.96,26.32
1978,26.25,26.36
1979,26.98,26.4
1980,26.72,26.43
1981,26.47,26.46
1982,26.1,26.49
1983,25.87,26.51
1984,26.71,26.51
1985,26.83,26.51
1986,26.43,26.49
1987,26.53,26.45
1988,26.47,26.41
1989,26.13,26.37
1990,26.68,26.35
1991,26.51,26.35
1992,25.8,26.39
1993,26.83,26.46
1994,26.46,26.55
1995,26.48,26.65
1996,26.89,26.75
1997,26.65,26.83
1998,27.11,26.89
1999,27.15,26.95
2000,26.69,26.99
2001,27.07,27.03
2002,27.21,27.07
2003,27.08,27.11
2004,27.13,27.16
2005,27.31,27.21
2006,27.09,27.26
2007,27.03,27.32
2008,27.37,27.39
2009,27.56,27.46
2010,28.54,27.52
2011,26.96,27.57
2012,27.46,27.61
2013,27.44,27.63
2014,27.57,27.63
2015,27.65,27.61
2016,27.86,27.57
2017,27.49,27.53
2018,27.76,27.48
2019,27.32,27.42
2020,26.85,27.36
2021,27.62,27.3
2022,26.99,27.23
2023,27.37,27.17